Rank,English,Russian,Belarusian
1,you,ты,ты
2,I,я,Я
3,to,к,да
4,the,а,а
5,a,а,а
6,and,а также,і
7,that,что,які
8,it,Это,яно
9,of,из,аб
10,me,мне,мне
11,what,какие,што
12,is,является,ці
13,in,в,у
14,this,это,гэтае
15,know,знать,ведаць
16,I'm,Я,Я
17,for,за,на працягу
18,no,нет,не
19,have,имеют,мець
20,my,мой,мой
21,don't,не,не
22,just,просто,менавіта
23,not,нет,не
24,do,делать,рабіць
25,be,быть,быць
26,on,на,на
27,your,ваш,ваш
28,was,был,быў
29,we,мы,мы
30,it's,это,гэта
31,with,с,з
32,so,так,так
33,but,но,але
34,all,все,усе
35,well,Что ж,добра
36,are,находятся,быць
37,he,он,ён
38,oh,ой,ну
39,about,о,пра
40,right,Правильно,правы
41,you're,Вы,ты
42,get,получить,набываць
43,here,здесь,тут
44,out,вне,па -за
45,going,собирается,ісці
46,like,как,быццам
47,yeah,Да,так
48,if,если,калі
49,her,ей,яе
50,she,она,яна
51,can,Можно,бляшанка
52,up,вверх,наверсе
53,want,хочу,мець патрэбу
54,think,считать,думаць
55,that's,это,гэта
56,now,в настоящее время,цяпер
57,go,идти,ісці
58,him,его,яго
59,at,в,каля
60,how,как,як
61,got,есть,мець
62,there,там,там
63,one,один,адзін
64,did,делал,рабіў
65,why,Почему,чаму
66,see,видеть,бачыць
67,come,прийти,прыходзіць
68,good,хороший,добры
69,they,Oни,яны
70,really,В самом деле,сапраўды
71,as,в качестве,у той час як
72,would,бы,было б
73,look,Смотреть,глядзець
74,when,когда,калі
75,time,время,час
76,will,будут,жаданне
77,okay,хорошо,Добра
78,back,назад,назад
79,can't,не мочь,нагах
80,mean,иметь в виду,значыць
81,tell,сказать,адрозніваць
82,I'll,Больной,Я
83,from,из,ад
84,hey,Привет,там
85,were,мы,быў
86,he's,Он,Ён
87,could,мог,мог
88,didn't,не,не
89,yes,да,так
90,his,его,ягоны
91,been,был,захоўваць
92,or,или же,або
93,something,что-нибудь,нешта
94,who,кто,Сусветная арганізацыя па ахове здароўя
95,because,потому что,бо
96,some,немного,некаторыя
97,had,было,мець
98,then,тогда,тады
99,say,сказать,гаварыць
100,ok,Ok,добра
101,take,брать,захопліваць
102,an,атмосфера,а таксама
103,way,путь,шлях
104,us,нас,нас
105,little,маленький,маленькі
106,make,делать,ствараць
107,need,необходимость,мець патрэбу
108,gonna,собираюсь,калі
109,never,никогда,ніколі
110,we're,были,мы
111,too,слишком,таксама
112,love,любовь,кахаць
113,she's,она,яна
114,I've,Я,Я
115,sure,Конечно,упэўнены
116,them,их,іх
117,more,более,болей
118,over,над,над
119,our,наш,наш
120,sorry,Извините,прабачце
121,where,куда,дзе
122,what's,Что,Што
123,let,позволять,дазваляць
124,thing,вещь,рэч
125,am,являюсь,AM
126,maybe,может быть,магчыма
127,down,вниз,уніз
128,man,человек,чалавек
129,has,имеет,мае
130,uh,Эм-м-м,э -э
131,very,очень,вельмі
132,by,по,да
133,there's,есть,там ёсць
134,should,должен,варта
135,anything,что-либо,што -небудзь
136,said,сказал,- адзначыць
137,much,много,вельмі
138,any,Любые,нейкі
139,life,жизнь,жыццё
140,even,даже,нават
141,off,выключенный,выключаны
142,please,пожалуйста,калі ласка
143,doing,делает,рабіць
144,thank,благодарить,дзякаваць
145,give,дайте,даваць
146,only,Только,але
147,thought,мысль,думка
148,help,помощь,дапамога
149,two,два,два
150,talk,разговаривать,размова
151,people,люди,народ
152,god,Бог,Бог
153,still,Все еще,ціхі
154,wait,ждать,чакаць
155,into,в,у
156,find,найти,знаходзіць
157,nothing,ничего такого,нішто
158,again,опять таки,зноў
159,things,вещи,рэчы
160,let's,Давайте,Давайце
161,doesn't,не,не
162,call,вызов,вокліч
163,told,сказал,аддзяляць
164,great,большой,вялікі
165,before,до,раней
166,better,лучше,лепшы
167,ever,Когда-либо,калі -небудзь
168,night,ночь,ноч
169,than,чем,чым
170,away,прочь,на адлегласці
171,first,первый,першы
172,believe,полагать,верыць
173,other,Другой,іншы
174,feel,Чувствовать,мацаць
175,everything,все,усё
176,work,Работа,праца
177,you've,Вы,ты
178,fine,отлично,цудоўны
179,home,дом,дом
180,after,после,пасля
181,last,последний,апошні
182,these,эти,гэтыя
183,day,день,дзень
